category,discounted_price,actual_price,discount_percentage,rating,rating_count,venta
4,124,350,73,4.4,3837,1
2,273,26,72,3.7,490,1
4,442,58,46,4.4,1771,1
4,432,5,34,4.1,14391,1
1,96,224,64,4.4,41398,1
2,376,412,38,4.4,69585,1
2,194,204,4,3.9,14266,1
1,342,11,62,4.3,3049,1
4,280,402,53,4.2,4664,1
4,285,267,7,4.3,1954,1
4,207,229,3,4.3,2299,1
2,379,62,65,4.1,161677,1
1,163,313,56,3.3,2804,1
4,275,378,50,4.0,743,1
1,273,375,52,4.2,94363,1
1,315,375,48,4.2,94363,1
1,315,375,48,4.2,94364,1
1,315,375,48,4.2,94364,1
2,62,240,49,4.0,36384,1
4,15,203,57,4.2,5178,1
1,19,238,62,4.1,11716,1
1,430,349,0,4.0,26423,1
2,52,316,67,4.0,92588,1
2,166,142,66,4.3,178912,1
2,13,142,42,4.3,178912,1
2,13,142,42,4.3,178912,1
1,471,62,48,4.0,5736,1
4,443,65,48,4.1,1728,1
1,95,114,41,4.3,2623,1
1,327,294,14,4.1,18656,1
4,260,375,56,4.3,2326,1
2,549,169,56,4.1,18331,1
2,29,202,52,3.8,180998,1
4,385,42,60,4.1,550,1
2,175,268,40,4.0,8380,1
4,393,445,45,4.3,1436,1
2,327,445,61,3.8,16557,1
2,327,445,61,3.8,16557,1
2,327,445,61,3.8,16557,1
1,514,63,37,4.0,7352,1
4,27,176,42,4.0,6530,1
1,172,226,28,3.8,11213,1
2,164,352,62,4.2,6233,1
4,269,313,35,4.1,1456,1
2,327,42,70,4.0,3295,1
2,455,164,70,4.4,67260,1
2,336,380,41,4.4,67259,1
4,342,432,54,4.0,1090,1
1,434,51,49,4.2,2014,1
1,430,127,67,4.4,4736,1
1,324,445,61,3.7,1097,1
2,350,444,56,3.9,21372,1
1,50,126,17,4.5,10541,1
4,535,44,21,3.9,1672,1
1,41,194,45,4.5,4099,1
2,273,349,45,4.3,4674,1
2,52,172,34,4.3,15970,1
2,500,127,56,3.8,12958,1
2,107,201,56,4.1,5999,1
2,107,201,56,4.1,5999,1
2,350,40,65,4.2,76042,1
4,456,3,29,4.1,3366,1
4,51,153,28,3.8,95,0
